City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
159,Komsomolskiy,UZ,66.92,clear sky,40.43,71.72,Ikathouse
160,Port Elizabeth,ZA,68.09,clear sky,-33.92,25.57,39 On Nile Guest House
161,Monforte De Lemos,ES,69.57,overcast clouds,42.52,-7.51,Hotel Cardenal
162,Tarutyne,UA,66.9,overcast clouds,46.19,29.15,Hotel Bessarabien Haus
164,Iquique,CL,60.84,clear sky,-20.22,-70.14,Backpacker`s Hostel Iquique
166,Padang,ID,73.45,light rain,-0.95,100.35,Mercure Padang
170,Melendugno,IT,82.49,clear sky,40.27,18.34,Alba Bed & Breakfast Melendugno
171,Atherton,GB,62.22,scattered clouds,53.52,-2.49,The Mercury Motel
172,Hami,CN,70.39,clear sky,42.8,93.45,Laoyutang Resort
174,Saldanha,ZA,64.45,broken clouds,-33.01,17.94,Blue Bay Lodge
175,Avarua,CK,73.45,scattered clouds,-21.21,-159.78,Paradise Inn
176,Kota Belud,MY,75.81,overcast clouds,6.35,116.43,Tang Dynasty Lodge Kota Belud
177,Butaritari,KI,81.61,overcast clouds,3.07,172.79,Isles Sunset Lodge
178,Grand Gaube,MU,72.0,broken clouds,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
179,Laguna,US,72.09,clear sky,38.42,-121.42,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
181,Tual,ID,80.85,clear sky,-5.67,132.75,Grand Vilia Hotel
182,Bermeo,ES,84.4,broken clouds,43.42,-2.72,Eco-Hotel Mundaka
189,Soyo,AO,74.32,broken clouds,-6.13,12.37,Hospedaria ndozi'ame
190,Asau,RO,63.52,broken clouds,46.43,26.4,Casa Mika Ciobanus
191,Korla,CN,72.5,clear sky,41.76,86.15,Gulisitan Hotel
192,Lagoa,PT,73.45,broken clouds,39.05,-27.98,Casa Das Faias
195,Santa Maria,BR,65.5,broken clouds,-29.68,-53.81,Hotel Morotin
196,Todos Santos,MX,79.66,clear sky,23.45,-110.22,Hotel California Todos Santos
