City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
164,Kapaa,US,22.08,-159.32,85.98,64,20,10.36,few clouds
165,Acapulco,MX,16.86,-99.89,85.82,70,75,4.61,broken clouds
166,Zhigansk,RU,66.77,123.37,25.72,80,97,8.28,overcast clouds
167,Puerto Ayora,EC,-0.74,-90.35,78.76,92,59,8.01,broken clouds
168,Verkhnechusovskiye Gorodki,RU,58.17,57.11,28.49,78,9,9.8,clear sky
169,Alice Springs,AU,-23.70,133.88,63.21,40,88,8.05,overcast clouds
170,Vila Velha,BR,-20.33,-40.29,71.55,93,100,10.36,overcast clouds
171,Upernavik,GL,72.79,-56.15,18.93,86,15,8.28,few clouds
172,Yulara,AU,-25.24,130.99,63.18,30,100,9.78,light rain
173,Viedma,AR,-40.81,-63.00,66.02,36,1,13.58,clear sky
174,Wolgast,DE,54.05,13.77,53.49,55,100,6.49,overcast clouds
175,Ippy,CF,6.27,21.22,68.5,96,98,3.11,overcast clouds
176,Zhezkazgan,KZ,47.80,67.71,34.57,32,47,13.51,scattered clouds
177,Ambon,ID,-3.70,128.18,75.34,94,20,5.75,few clouds
178,Basoko,CD,1.24,23.62,71.2,91,16,2.42,light rain
179,Romny,UA,50.75,33.47,54.63,72,100,9.6,light rain
180,Lahaina,US,20.88,-156.68,87.8,85,17,6.44,few clouds
181,Nantucket,US,41.28,-70.10,62.74,62,20,16.11,few clouds
182,Aykhal,RU,66.00,111.50,17.78,96,100,5.08,overcast clouds
183,Georgetown,MY,5.41,100.34,78.89,93,20,3.44,few clouds
184,Vaitape,PF,-16.52,-151.75,78.76,70,17,17.4,few clouds
185,Itarema,BR,-2.92,-39.92,77.97,79,68,15.32,broken clouds
186,Bull Savanna,JM,17.89,-77.59,79.39,78,100,2.53,overcast clouds
187,Kimbe,PG,-5.55,150.14,81.99,75,85,3.58,overcast clouds
188,Esperance,AU,-33.87,121.90,50.68,86,0,10.85,clear sky
189,Muravlenko,RU,63.79,74.52,25.81,81,9,8.19,clear sky
190,Vermilion,US,40.17,-87.75,67.55,49,1,3.0,clear sky
191,Portland,US,45.52,-122.68,70.84,78,75,8.05,broken clouds
192,Mount Gambier,AU,-37.83,140.77,49.42,92,80,7.7,broken clouds
193,Bambanglipuro,ID,-7.95,110.28,76.17,86,100,6.64,overcast clouds
194,Arraial Do Cabo,BR,-22.97,-42.03,67.86,83,100,12.66,mist
195,Tiksi,RU,71.69,128.87,19.04,93,100,5.14,overcast clouds
196,Touros,BR,-5.20,-35.46,77.09,74,73,14.58,broken clouds
197,Talcahuano,CL,-36.72,-73.12,55.08,76,75,8.05,broken clouds
198,Jalu,LY,29.03,21.55,89.31,16,0,10.63,clear sky
199,Oleksandrivka,UA,48.96,32.23,60.8,80,100,8.16,light rain
200,Kaa-Khem,RU,51.68,94.73,35.74,69,97,6.49,overcast clouds
201,Port Lincoln,AU,-34.73,135.87,54.57,81,100,11.5,overcast clouds
202,Fairbanks,US,64.84,-147.72,57.31,48,40,0.0,scattered clouds
203,Ca Mau,VN,9.18,105.15,75.58,94,99,4.74,light rain
204,Senanga,ZM,-16.12,23.27,74.37,28,90,5.59,overcast clouds
205,Nivala,FI,63.92,24.97,36.68,98,100,3.83,overcast clouds
206,Merauke,ID,-8.47,140.33,79.43,84,98,9.44,overcast clouds
207,Poum,NC,-20.23,164.02,77.7,79,100,21.05,overcast clouds
208,Victoria,HK,22.29,114.16,83.32,87,95,8.01,overcast clouds
209,Thompson,CA,55.74,-97.86,60.96,44,75,12.66,broken clouds
210,Vostok,RU,46.49,135.88,51.03,88,10,5.23,clear sky
211,Berlevag,NO,70.86,29.09,40.95,75,0,10.36,clear sky
212,Chuy,UY,-33.70,-53.46,53.69,80,99,5.41,overcast clouds
213,Riyadh,SA,24.69,46.72,78.94,16,0,3.94,clear sky
214,Kaitangata,NZ,-46.28,169.85,45.43,61,57,3.96,broken clouds
215,Port Hardy,CA,50.70,-127.42,57.38,94,75,5.75,mist
216,Beringovskiy,RU,63.05,179.32,36.25,56,33,7.76,scattered clouds
217,Hermanus,ZA,-34.42,19.23,56.8,89,99,8.68,overcast clouds
218,Thinadhoo,MV,0.53,72.93,79.68,78,100,6.2,overcast clouds
219,Jutiapa,GT,14.28,-89.90,74.8,87,81,3.11,broken clouds
220,Hasaki,JP,35.73,140.83,68.4,61,95,5.86,overcast clouds
221,Port Hedland,AU,-20.32,118.57,68.05,77,3,6.91,clear sky
222,Coxim,BR,-18.51,-54.76,78.15,66,100,5.41,overcast clouds
223,Markova,UA,48.68,24.41,52.43,95,96,1.59,overcast clouds
224,Pemangkat,ID,1.17,108.97,77.5,86,99,2.71,overcast clouds
225,Sioux Lookout,CA,50.10,-91.92,66.27,42,40,9.22,scattered clouds
226,Dickinson,US,29.46,-95.05,87.17,36,0,9.22,clear sky
227,Tutubigan,PH,11.84,125.06,74.5,96,100,1.3,overcast clouds
228,Iranshahr,IR,27.20,60.68,86.34,45,0,4.61,clear sky
229,Hami,CN,42.80,93.45,65.35,31,100,4.88,overcast clouds
230,Pisco,PE,-13.70,-76.22,68.05,60,0,5.75,clear sky
231,Vardo,NO,70.37,31.11,44.58,81,9,8.05,clear sky
232,Anito,PH,12.45,125.29,77.9,88,100,6.51,overcast clouds
233,Coihaique,CL,-45.58,-72.07,56.01,62,75,8.05,broken clouds
234,Sitka,US,57.05,-135.33,57.09,88,100,8.05,moderate rain
235,Harper,LR,4.38,-7.72,76.19,86,53,5.75,broken clouds
236,Vila Franca Do Campo,PT,37.72,-25.43,70.2,78,86,4.43,overcast clouds
237,Bredasdorp,ZA,-34.53,20.04,55.0,96,100,4.34,overcast clouds
238,Fort Smith,US,35.39,-94.40,80.38,25,0,12.66,clear sky
239,Sretensk,RU,52.25,117.71,31.44,91,100,2.15,overcast clouds
240,Lasa,IT,46.62,10.70,50.88,96,100,3.56,overcast clouds
241,Sulangan,PH,11.14,123.72,80.24,76,100,5.61,light rain
242,Hailun,CN,47.45,126.93,46.67,70,91,6.62,overcast clouds
243,Carnarvon,AU,-24.87,113.63,67.46,70,0,17.9,clear sky
244,Kijang,KR,35.24,129.21,62.33,70,0,3.18,clear sky
245,Columbus,US,39.96,-83.00,62.55,62,75,12.66,broken clouds
246,Stornoway,GB,58.21,-6.39,53.56,83,75,19.57,broken clouds
247,Hammerfest,NO,70.66,23.68,45.05,65,0,8.05,clear sky
248,Tezu,IN,27.92,96.17,74.52,73,41,3.06,scattered clouds
249,Esmeraldas,BR,-19.76,-44.31,70.66,71,65,6.85,broken clouds
250,Severo-Kurilsk,RU,50.68,156.12,47.8,75,60,28.66,broken clouds
251,Clarence Town,AU,-32.58,151.78,63.86,93,98,10.4,light rain
252,Mega,ET,4.05,38.30,64.35,50,75,13.91,broken clouds
253,Englewood,US,39.65,-104.99,81.77,26,75,10.36,broken clouds
254,Ballina,AU,-28.87,153.57,65.01,75,43,15.84,scattered clouds
255,Vidim,RU,56.41,103.11,33.78,95,100,8.93,overcast clouds
256,Tahoua,NE,14.89,5.27,87.78,55,20,6.91,thunderstorm
